fundingTime,fundingIntervalHours,fundingRate
1754841600002,8,0.00010000
1754870400000,8,0.00010000
1754899200000,8,0.00010000
1754928000000,8,0.00010000
1754956800000,8,0.00010000
1754985600001,8,0.00007988
1755014400005,8,0.00008543
1755043200000,8,0.00007123
1755072000002,8,0.00010000
1755100800006,8,0.00010000
1755129600002,8,0.00010000
1755158400003,8,0.00010000
1755187200000,8,0.00010000
1755216000000,8,0.00001939
1755244800000,8,0.00007990
1755273600000,8,0.00003722
1755302400004,8,0.00008850
1755331200000,8,0.00008268
1755360000002,8,0.00009023
1755388800000,8,0.00008206
1755417600001,8,0.00004680
1755446400007,8,0.00001862
1755475200000,8,0.00002846
1755504000001,8,-0.00000682
1755532800002,8,0.00005296
1755561600000,8,0.00007137
1755590400001,8,0.00006262
1755619200000,8,0.00003167
1755648000000,8,0.00004543
1755676800000,8,0.00001364
1755705600000,8,0.00004936
1755734400006,8,0.00001143
1755763200000,8,0.00007757
1755792000003,8,0.00007414
1755820800010,8,0.00007296
1755849600007,8,0.00010000
1755878400001,8,0.00005867
1755907200004,8,0.00010000
1755936000006,8,0.00010000
1755964800000,8,0.00009711
1755993600001,8,0.00010000
1756022400002,8,0.00010000
1756051200001,8,0.00010000
1756080000000,8,0.00010000
1756108800002,8,0.00010000
1756137600002,8,0.00008344
1756166400000,8,0.00004522
1756195200000,8,0.00003900
1756224000000,8,0.00010000
1756252800003,8,0.00001802
1756281600000,8,0.00005503
1756310400009,8,0.00003496
1756339200000,8,0.00005297
1756368000005,8,0.00009693
1756396800004,8,0.00007512
1756425600000,8,0.00004261
1756454400000,8,0.00005856
1756483200005,8,0.00000644
1756512000000,8,0.00007523
1756540800002,8,0.00007979
1756569600003,8,0.00008042
1756598400016,8,-0.00001232
1756627200000,8,0.00004749
1756656000001,8,0.00010000
1756684800000,8,0.00004660
1756713600000,8,0.00010000
1756742400001,8,0.00004963
1756771200000,8,0.00006946
1756800000005,8,0.00008805
1756828800007,8,0.00006356
1756857600006,8,0.00000767
1756886400002,8,0.00005127
1756915200002,8,0.00002344
1756944000002,8,0.00001808
1756972800000,8,0.00004385
1757001600000,8,0.00007941
1757030400001,8,0.00007532
1757059200006,8,0.00010000
1757088000000,8,0.00007872
1757116800000,8,0.00001297
1757145600005,8,0.00005660
1757174400000,8,0.00005110
1757203200000,8,0.00001970
1757232000000,8,0.00003611
1757260800000,8,0.00006969
1757289600007,8,0.00009404
1757318400000,8,0.00006682
1757347200000,8,0.00007311
1757376000000,8,0.00003799
1757404800000,8,0.00010000
1757433600000,8,0.00010000
1757462400000,8,0.00005805
1757491200002,8,0.00005026
1757520000000,8,0.00010000
1757548800000,8,0.00005843
1757577600000,8,0.00004283
1757606400001,8,0.00003326
1757635200002,8,0.00006137
1757664000001,8,0.00003768
1757692800005,8,0.00006891
1757721600005,8,-0.00001554
1757750400002,8,0.00002251
1757779200000,8,0.00003137
1757808000006,8,0.00008182
1757836800000,8,0.00004780
1757865600001,8,0.00003115
1757894400006,8,0.00006207
1757923200002,8,0.00008259
1757952000001,8,0.00008189
1757980800001,8,0.00000997
1758009600000,8,0.00006991
1758038400000,8,0.00006472
1758067200001,8,0.00006972
1758096000000,8,0.00008441
1758124800003,8,0.00006303
1758153600006,8,0.00004941
1758182400002,8,0.00008928
1758211200000,8,0.00004208
1758240000000,8,-0.00000231
1758268800005,8,0.00002109
1758297600000,8,0.00005264
